// Plurali irregolari italiani. Caricato automaticamente dal motore: la
// pluralizzazione a runtime (LanguageWorker.Pluralize -> TryLookupPluralForm)
// usa questo file. Formato: singolare;plurale  (commenti con //).
//
// Priorita: parti del corpo eteroclite (maschile singolare -> femminile
// plurale), che alimentano il log di combattimento e le descrizioni mediche.
braccio;braccia
osso;ossa
ginocchio;ginocchia
dito;dita
labbro;labbra
ciglio;ciglia
sopracciglio;sopracciglia
membro;membra
budello;budella
corno;corna
orecchio;orecchie
//
// Altri irregolari comuni che possono comparire nei testi generati.
uovo;uova
paio;paia
uomo;uomini
dio;dei
tempio;templi
