dlc,file,tag,status,lang_flag,en_sha,it_sha
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,Belt.label,translated,,8884fd30d64e,9a5eb5bf2515
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,EyeCover.label,translated,,577edc67ce8a,5298edb3b53b
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,Middle.label,translated,,85c274929bc0,919d904aade5
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,OnSkin.label,translated,,d0cb2acd0739,d8d9a546c277
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,Overhead.label,translated,,99ff4bd86039,b88d844ee3ec
Core,Core\DefInjected\ApparelLayerDef\ApparelLayerDefs.xml,Shell.label,translated,,b1417920698f,1a618df0a7c0
Core,Core\DefInjected\BackstoryDef\InsectsRelated_Child.xml,SewerKid57.description,translated,,f6c16251d4e9,8680624f395e
Core,Core\DefInjected\BackstoryDef\InsectsRelated_Child.xml,SewerKid57.title,translated,,6fb577782349,158d7d654e2e
Core,Core\DefInjected\BackstoryDef\InsectsRelated_Child.xml,SewerKid57.titleFemale,translated,,5c10efcf28ab,ecb5a970e0df
Core,Core\DefInjected\BackstoryDef\InsectsRelated_Child.xml,SewerKid57.titleShort,translated,,8a50d05788ec,158d7d654e2e
Core,Core\DefInjected\BackstoryDef\InsectsRelated_Child.xml,SewerKid57.titleShortFemale,translated,,5c10efcf28ab,ecb5a970e0df
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Architect28.description,translated,,837a5f800f2f,cb868bb20230
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Architect28.title,translated,,e58c93c46ca0,1be58191b1f9
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Architect28.titleShort,translated,,e58c93c46ca0,1be58191b1f9
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,BiosphereManager95.description,translated,,bb06394497b8,e4d9fa5d3d87
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,BiosphereManager95.title,translated,,f98c2fd9301c,af2603d554ba
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,BiosphereManager95.titleShort,translated,,525f793acdc3,221c6fd4fb1e
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,BiosphereManager95.titleShortFemale,translated,,,8153a55c7f2f
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,CharityWorker36.description,translated,,085a463e461a,875fb79a6830
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,CharityWorker36.title,translated,,97feec156ede,65eff336fa94
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,CharityWorker36.titleFemale,translated,,,13d3b11d8115
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,CharityWorker36.titleShort,translated,,b3b4b2d12544,43505f96b625
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldEmpath26.description,translated,,d283ae1db67c,0f7a77d177eb
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldEmpath26.title,translated,,203a3fed03b2,06d04308cb38
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldEmpath26.titleFemale,translated,,,ba55f9bf24bc
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldEmpath26.titleShort,translated,,d744590c4650,5b3e98547db6
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldEmpath26.titleShortFemale,translated,,,eb98c50f1fb0
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldOfficer60.description,translated,,29066c35db85,43e6176ab047
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldOfficer60.title,translated,,db10d0081c76,d2cac6954a5b
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldOfficer60.titleShort,translated,,f90409b98ffb,a7f134db3155
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldSurgeon15.description,translated,,56e333ad69d7,ad7345b465fb
